ITEM_A,TITLE_A,ITEM_B,TITLE_B
514341,Baraja de Evangelion y Gundam W,514341,Baraja de Evangelion y Gundam W
687643,FAX TELEFONICA EQUIPOS - URGENTE,512312,Telefono movil
535665,autografo de Chilavert,512313,Autobiografia de Charles
2139803,Juego de tweeter.,213980,Juego de mesa
2139565,Chomba color rojo.,132312,remera color rojo
468237168,Locales En Venta,145423,apartamento en ventas
63486251,Colección Vinilos Los Grandes Músicos,234234,Vinilos de musica
63486703,Zapato Y Botas De Mujer,233234,Vestido de mujer
63537003,"Lote De 12pares Medias Soquetes 1/4 Toalla Algodon,no Envios",121214,medias para mujer
63480361,Lote X10 Excelentes Ponchos Toalla  Infantil Disney 60x120cm,653554,Toallas infantiles
63477742,Ch Africa Similar Edition 100 Ml - Tester De Free Shop,63486703,Zapato Y Botas De Mujer
63482316,Entrada Bad Religion- Biohazard Obras 1993,63537003,"Lote De 12pares Medias Soquetes 1/4 Toalla Algodon,no Envios"
634887722,Laser 4 Bocas Usado Para Reparar,634887782,Laser 4 Bocas Usado
63474586,Calefactor Placa Peabody Living & Arts Urgente,63474584,Calefactor Placa Peabody Living & Arts
62476483,Gel De Armonicos,6451338,Dvds Originales Impecables!
64263755,"Trapos Rejilla De Algodón , 35 X 42 Cm De Pabilo-pack X 12",6451340,Aleta Christopher Moore
64263754,"Medias Algodon, Mujer, Niño Y Niña Algodón",645133882,Misterios De Los Mundos Olvidados Charles Berlitz
642875,Antigua Medalla Peronista Los Bombos De Peron Cgt Inusual!!,2139803,Juego de tweeter.
642765,Reloj De Bolsillo Perudi Swiss Agujas Azuladas Funciona Leer,2139565,Chomba color rojo.
639623,Dead Space 2 Pc - Steam,514341,Baraja de Evangelion y Gundam W
6426692,Escritorio Antiguo Grande De Madera,687643,FAX TELEFONICA EQUIPOS - URGENTE
6347747,"Batidora, Amasadora De 10 Litros, Funcionando Perfectamente",535665,autografo de Chilavert
634741,Cachorro Yorkshire,2139803,Juego de tweeter.
6197048,Arbol De Navidad C/ Adornos Y Luces,2139565,Chomba color rojo.
6451357,Cama Cucheta Marinera Madera/elastico Hierro Colchon Almoada,468237168,Locales En Venta
6451338,Dvds Originales Impecables!,63486251,Colección Vinilos Los Grandes Músicos
6451340,Aleta Christopher Moore,63486703,Zapato Y Botas De Mujer
645133882,Misterios De Los Mundos Olvidados Charles Berlitz,63537003,"Lote De 12pares Medias Soquetes 1/4 Toalla Algodon,no Envios"
